product_id,category,price
1,Clothing,109.94
2,Clothing,330.39
3,Sports,238.78
4,Sports,440.68
5,Sports,111.79
6,Clothing,340.52
7,Clothing,305.84
8,Sports,151.17
9,Sports,72.62
10,Books,327.56
11,Sports,370.61
12,Books,161.24
13,Home & Kitchen,324.19
14,Clothing,200.59
15,Sports,358.04
16,Clothing,103.61
17,Clothing,445.66
18,Clothing,147.27
19,Home & Kitchen,187.05
20,Electronics,33.76
21,Sports,60.2
22,Electronics,260.35
23,Electronics,137.46
24,Electronics,418.56
25,Clothing,12.27
26,Books,192.65
27,Clothing,171.99
28,Clothing,14.57
29,Electronics,66.56
30,Clothing,209.75
31,Electronics,248.97
32,Books,205.12
33,Sports,267.81
34,Electronics,299.59
35,Books,9.91
36,Sports,234.73
37,Home & Kitchen,481.93
38,Electronics,261.92
39,Electronics,340.38
40,Home & Kitchen,159.37
41,Home & Kitchen,388.13
42,Electronics,387.6
43,Home & Kitchen,263.04
44,Clothing,488.13
45,Sports,67.15
46,Sports,13.39
47,Sports,386.23
48,Clothing,404.54
49,Home & Kitchen,64.5
50,Books,136.46
51,Home & Kitchen,13.69
52,Electronics,150.19
53,Sports,387.71
54,Home & Kitchen,261.39
55,Books,177.31
56,Electronics,189.01
57,Clothing,5.67
58,Clothing,153.4
59,Books,325.0
60,Electronics,487.23
61,Sports,424.3
62,Home & Kitchen,16.68
63,Electronics,449.79
64,Clothing,392.68
65,Books,391.29
66,Books,231.71
67,Home & Kitchen,202.01
68,Books,154.94
69,Books,37.52
70,Electronics,117.98
71,Sports,127.07
72,Home & Kitchen,244.62
73,Electronics,374.98
74,Sports,239.54
75,Electronics,33.63
76,Electronics,479.11
77,Books,471.65
78,Sports,393.67
79,Home & Kitchen,495.71
80,Home & Kitchen,274.52
81,Sports,481.57
82,Books,42.42
83,Clothing,186.01
84,Electronics,116.56
85,Books,101.94
86,Sports,74.7
87,Electronics,313.09
88,Home & Kitchen,391.75
89,Clothing,291.26
90,Home & Kitchen,77.75
91,Sports,406.51
92,Electronics,319.8
93,Sports,197.14
94,Electronics,338.69
95,Books,133.65
96,Clothing,175.87
97,Books,459.16
98,Books,148.8
99,Sports,237.64
100,Clothing,445.62
